iter	RMSE
1315	249481.9723
1316	249461.6267
1317	249410.3643
1318	249388.6587
1319	249363.0139
1320	249361.0038
1321	249340.0061
1322	249292.3227
1323	249273.2836
1324	249244.6198
1325	249228.9491
1326	249205.2115
1327	249157.9809
1328	249128.2975
1329	249098.9184
1330	249073.585
1331	249044.5591
1332	248997.7783
1333	248995.8712
1334	248972.5947
1335	248949.4412
1336	248928.3187
1337	248882.5565
1338	248859.6192
1339	248834.6504
1340	248817.9168
1341	248798.4614
1342	248796.5605
1343	248773.2047
1344	248727.9098
1345	248706.9941
1346	248682.4171
1347	248659.5627
1348	248623.0359
1349	248612.8104
1350	248610.818
1351	248588.2386
1352	248561.9827
1353	248539.6832
1354	248537.8524
1355	248514.3929
1356	248485.4435
1357	248447.9324
1358	248404.593
1359	248359.6346
1360	248347.7929
1361	248331.9368
1362	248285.9118
1363	248264.6358
1364	248215.115
1365	248184.3958
1366	248160.2316
1367	248111.2676
1368	248077.7154
1369	248049.0168
1370	248029.4724
1371	248006.276
1372	247986.8903
1373	247946.6098
1374	247904.5384
1375	247902.8419
1376	247894.4802
1377	247860.7376
1378	247842.1736
1379	247806.7939
1380	247785.343
1381	247762.0019
1382	247738.7666
1383	247714.5991
1384	247695.1368
1385	247675.276
1386	247659.0361
1387	247611.0193
1388	247609.348
1389	247587.9527
1390	247566.6954
1391	247541.928
1392	247522.3334
1393	247500.9805
1394	247459.6653
1395	247458.0352
1396	247436.9423
1397	247414.0364
1398	247398.1552
1399	247396.5239
1400	247349.0992
1401	247330.3156
1402	247314.3203
1403	247292.456
1404	247267.7894
1405	247235.4808
1406	247215.1669
1407	247198.2864
1408	247176.5909
1409	247148.0145
1410	247132.4876
1411	247113.6218
1412	247092.9293
1413	247070.3368
1414	247051.0865
1415	247029.5891
1416	247020.4161
1417	247004.8675
1418	246967.5811
1419	246935.2058
1420	246892.2972
1421	246870.9292
1422	246851.9398
1423	246831.5901
1424	246784.078
1425	246763.5935
1426	246742.4588
1427	246722.1027
1428	246705.6465
1429	246678.5287
1430	246646.5901
1431	246625.7351
1432	246607.7418
1433	246564.0581
1434	246540.3851
1435	246512.1137
1436	246468.2737
1437	246450.6014
1438	246429.8534
1439	246411.0345
1440	246409.316
1441	246363.7467
1442	246340.6817
1443	246313.787
1444	246293.1443
1445	246269.4677
1446	246254.8342
1447	246221.8329
1448	246220.0803
1449	246200.2622
1450	246162.1621
1451	246115.6745
1452	246094.2943
1453	246081.487
1454	246039.1717
1455	246023.1232
1456	246005.6953
1457	245986.5338
1458	245965.2466
1459	245938.8643
1460	245906.5098
1461	245889.3
1462	245869.0034
1463	245867.2965
1464	245841.2493
1465	245820.7476
1466	245776.4603
1467	245757.2054
1468	245739.4102
1469	245724.4119
1470	245699.0493
1471	245665.8594
1472	245648.4705
1473	245629.3514
1474	245585.6678
1475	245552.3504
1476	245527.2928
1477	245507.2416
1478	245490.4805
1479	245470.5603
1480	245437.7486
1481	245423.1825
1482	245405.4621
1483	245389.3929
1484	245373.7404
1485	245356.0205
1486	245337.6909
1487	245314.8153
1488	245291.6586
1489	245275.7663
1490	245256.7088
1491	245236.8987
1492	245197.6901
1493	245182.5008
1494	245163.0181
1495	245138.5388
1496	245118.8581
1497	245097.8216
1498	245077.9691
1499	245047.5557
1500	245028.1762
1501	245009.2869
1502	244994.6993
1503	244975.4898
1504	244949.6859
1505	244935.8673
1506	244921.7337
1507	244896.5144
1508	244882.9494
1509	244863.6168
1510	244843.8162
1511	244808.8669
1512	244795.4514
1513	244764.4743
1514	244736.2146
1515	244719.14
1516	244705.4135
1517	244662.6301
1518	244651.7671
1519	244633.7649
1520	244613.0729
1521	244585.2689
1522	244566.1519
1523	244548.6482
1524	244547.1213
1525	244508.6824
1526	244506.9615
1527	244476.6139
1528	244456.4813
1529	244436.5327
1530	244418.7448
1531	244394.2649
1532	244375.6037
1533	244360.6601
1534	244349.5027
1535	244332.0512
1536	244313.1543
1537	244294.7064
1538	244274.559
1539	244251.8857
1540	244237.1309
1541	244209.1259
1542	244187.3446
1543	244161.616
1544	244151.0316
1545	244140.5563
1546	244123.9582
1547	244103.6439
1548	244091.2756
1549	244072.6509
1550	244037.9516
1551	244015.7185
1552	244001.4427
1553	243977.4442
1554	243946.8564
1555	243917.1422
1556	243904.6105
1557	243866.6173
1558	243843.2667
1559	243824.2895
1560	243799.031
1561	243778.8414
1562	243759.0319
1563	243757.4633
1564	243715.4911
1565	243690.8407
1566	243643.8708
1567	243620.1901
1568	243602.0414
1569	243584.0219
1570	243566.1179
1571	243548.737
1572	243525.543
1573	243505.6364
1574	243482.6335
1575	243463.5126
1576	243422.3283
1577	243380.9015
1578	243366.4468
1579	243333.1223
1580	243312.0586
1581	243287.1698
1582	243269.9899
1583	243252.9551
1584	243236.0636
1585	243203.2102
1586	243181.4728
1587	243153.6875
1588	243116.8512
1589	243097.2899
1590	243080.5521
1591	243040.1358
1592	243031.8356
1593	243007.4276
1594	242993.049
1595	242975.6138
1596	242961.9977
1597	242945.5176
1598	242926.6936
1599	242904.5087
1600	242879.4392
1601	242862.2103
1602	242841.3819
1603	242822.2693
1604	242806.5256
1605	242783.8137
1606	242760.0188
1607	242733.0999
1608	242692.6039
1609	242652.9973
1610	242640.7086
1611	242629.1939
1612	242605.0402
1613	242582.3251
1614	242568.2118
1615	242557.5455
1616	242528.0102
1617	242517.6777
1618	242502.2328
1619	242482.0426
1620	242454.7481
1621	242432.5961
1622	242401.041
1623	242375.5184
1624	242360.1708
1625	242338.4259
1626	242325.0275
1627	242286.1726
1628	242274.188
1629	242258.2493
1630	242229.8698
1631	242213.9804
1632	242202.152
1633	242183.6826
1634	242165.3426
1635	242149.5765
1636	242128.6935
1637	242106.9101
1638	242085.6663
1639	242072.3685
1640	242054.0027
1641	242035.972
1642	242021.9522
1643	241976.7879
1644	241963.6601
1645	241941.7123
1646	241918.8739
1647	241902.3333
1648	241864.1849
1649	241849.67
1650	241834.8422
1651	241821.216
1652	241793.9519
1653	241782.4645
1654	241764.4443
1655	241749.7449
1656	241724.2668
1657	241708.1862
1658	241693.5902
1659	241672.2807
1660	241656.972
1661	241640.5394
1662	241616.2496
1663	241606.1559
1664	241591.0289
1665	241573.2949
1666	241558.298
1667	241536.7985
1668	241520.6037
1669	241503.3506
1670	241482.401
1671	241464.1263
1672	241447.9099
1673	241438.3363
1674	241398.4042
1675	241360.9177
1676	241323.8417
